pct,n_seeds,miou_mean,pixel_acc_mean,iou_clear_mean,iou_thick_cloud_mean,iou_thin_cloud_mean,iou_cloud_shadow_mean,miou_std,pixel_acc_std,iou_clear_std,iou_thick_cloud_std,iou_thin_cloud_std,iou_cloud_shadow_std,cm_t0_p0_sum,cm_t0_p1_sum,cm_t0_p2_sum,cm_t0_p3_sum,cm_t1_p0_sum,cm_t1_p1_sum,cm_t1_p2_sum,cm_t1_p3_sum,cm_t2_p0_sum,cm_t2_p1_sum,cm_t2_p2_sum,cm_t2_p3_sum,cm_t3_p0_sum,cm_t3_p1_sum,cm_t3_p2_sum,cm_t3_p3_sum
0.1,10,0.2692189810094533,0.5348323309482672,0.5877049656243645,0.3189917106438091,0.0914312270689601,0.0787480207006794,0.0093964391123327,0.027644346763058,0.0315878116945716,0.0251818568359779,0.0036822784509318,0.0260937573254507,984769139,76568952,253762514,47577545,107313591,274874284,308788311,39781954,90256679,25830315,78304771,25458915,112528845,27988530,73067755,29031900
0.5,10,0.262399488576153,0.6261857260679587,0.6190556215157658,0.3863731467425941,0.0348164252047639,0.0093527608414882,0.0093443382370746,0.0396324761676498,0.0097028732486004,0.044355219841699,0.0337927902062417,0.0116552672427925,1261968802,39143482,58591278,2974588,308352931,314775717,102313866,5315626,176227291,19564566,21161162,2897661,190184750,26133184,23734175,2564921
1.0,10,0.3016951839219339,0.6906380720872145,0.6490848951063387,0.5297797471744056,0.0129799687000492,0.0149361247069421,0.0149670464136278,0.0137461432905724,0.013022405368164,0.0368470613348232,0.0092031777539273,0.0102126554365637,1314686041,41164339,6612845,214925,277451177,443658524,9013455,634984,188153056,28344260,3217394,135970,198156741,35798273,5019364,3642652
2.5,10,0.36367315766635416,0.7258280044946914,0.6867571071945029,0.6019722190114551,0.02857946195497215,0.1373838425044865,0.05966997368912159,0.03552102635146534,0.038800673612185,0.08071923684082778,0.026564603503004307,0.10464670661861793,1276100206,62747353,11217504,12613087,182654756,533018873,7195743,7888768,169272923,39044740,7304803,4228214,152090534,47221961,4581717,38722818
5.0,10,0.4349497915073615,0.7556222682855068,0.7271467962487911,0.6490025295482417,0.0933320114011957,0.2703178288312177,0.0649524859646617,0.0395407965725948,0.0426347371642087,0.0922320638820786,0.0333850400538979,0.0951744035285214,1239336174,65982133,25116863,32242980,110106977,580652869,15730907,24267387,140162836,43333273,25388565,10966006,100725925,49426679,6544056,85920370
10.0,10,0.4824951259644184,0.7845130971272787,0.7595608269515266,0.6914883994796982,0.1464010418272625,0.3325302355991864,0.0217705256221315,0.008712220338454,0.0140695559324105,0.0071194338989036,0.0505783867232458,0.0204453297300205,1249928331,61099385,19394991,32255443,75568091,612023122,16299288,26867639,125660220,43789851,38852213,11548396,82309352,49409255,6561926,104336497
20.0,10,0.52372174115274,0.8024849560077374,0.784233587436195,0.7089640534375139,0.22320668226764515,0.37848264146960575,0.01582951438034796,0.008815305809427963,0.010440229154329775,0.010660216458821686,0.039731157031417184,0.015379301922971073,1252039231,52833717,22749938,35055264,61520208,616227697,22073458,30936777,104851596,41724199,61489606,11785279,67583838,43948151,9767066,121317975
30.0,10,0.5408545139170727,0.8137755248240935,0.7969507319181355,0.7230739705711695,0.24828715215779681,0.3951062010211892,0.009686803844040021,0.005795098755040436,0.006304890127495102,0.008579753585501632,0.027277478159866524,0.0077308882163591944,1264862191,47695005,17991661,32129293,57818299,624617433,19374870,28947538,99463180,43412656,66224892,10749952,67179967,42056545,9152915,124227603
40.0,10,0.5450287946527198,0.8169116394825471,0.8001510417322708,0.7276834428049571,0.25289175728704705,0.3993889367866041,0.025608983933553525,0.009746197316755302,0.013766275941784126,0.010401593975026921,0.05361602312267258,0.029922996187446236,1271385551,43468591,15961373,31862635,59223506,623660217,18445858,29428559,99938526,41842697,66857317,11212140,67712527,40985165,7874696,126044642
50.0,10,0.5649851859959439,0.8224024982941456,0.8081646342650041,0.7307220376127097,0.3059976261926048,0.4150564459134572,0.0195128988461127,0.0100423419559929,0.0117906366639215,0.0128563438210731,0.0423198813508325,0.0131449543212424,1253829867,48308645,23545380,36994258,49366734,630843652,19983225,30564529,81079197,43030621,83644884,12095978,58539814,41370412,9043372,133663432
60.0,10,0.5786676710051188,0.8300639996650891,0.8163551149648901,0.7403012279228285,0.3350242901029615,0.4229900510297953,0.013972954173758137,0.005224178242431729,0.006275993255657969,0.007474418170196387,0.03324999873078527,0.011659939382424232,1266923784,41640704,21848300,32265362,49571990,630051059,22541603,28593488,78616540,39171559,91838141,10224440,61181867,39529997,9154253,132750913
70.0,10,0.5845478570280013,0.8332092504256812,0.820329565024403,0.7443617081417317,0.3442614834854652,0.429238671460405,0.013187232639207147,0.004757097648449642,0.005611133204125123,0.005932234249993477,0.03512327581413719,0.008957761766439578,1266535385,41778003,22345031,32019731,46279078,634552420,20987575,28939067,75143517,40696448,93789413,10221302,59920406,39271693,8699293,134725638
80.0,10,0.5860588078326756,0.8337803066938351,0.8201119222665081,0.7446921881896166,0.3490738866682258,0.4303572342063517,0.016755145864107802,0.0053036360957107054,0.007716398923729413,0.005802990203946525,0.04363132241937393,0.012342866005746946,1268455766,40665308,22055118,31501958,48526965,632688347,20679158,28863670,74982660,39565264,95066198,10236558,60752729,38619166,8393025,134852110
90.0,10,0.5951639497487727,0.83717063669058,0.8233103840914311,0.748719778701737,0.3707135834614626,0.4379120527404603,0.008531313001781744,0.0024915192968670737,0.003954507654652217,0.004513415490662084,0.020794885723543866,0.006420076957679378,1271373409,36593408,23099163,31612170,49913588,629471776,22044656,29328120,71085619,37262177,101582013,9920871,60621125,36108496,8586828,137300581
