id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,0,2069,176988,935,0,0,0,0,0,6713,75167,272,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,0,1424,5303,6109,0,24891,11874,2936,0,0,1,0,0,1529,34508,173569
ROI_0001__20190316T141049_20190316T142437_T19FDF,0,67,12200,65523,0,40849,81540,16534,0,0,0,0,0,1026,8701,35704
ROI_0001__20190525T141059_20190525T142053_T19FDF,0,3871,30098,77882,0,622,64358,0,0,116,58466,15,0,0,13712,13004
ROI_0001__20200308T141731_20200308T143551_T19FDF,0,81702,180442,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,0,1248,240670,0,0,0,0,0,0,302,19924,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,32000,40358,0,0,23496,50442,0,0,23245,42783,0,0,21982,27838,0
ROI_0010__20190813T112121_20190813T113228_T28QFG,441,5876,44039,0,0,6631,141538,0,0,0,0,0,0,2886,60733,0
ROI_0010__20190907T112119_20190907T112853_T28QFG,177106,31107,53931,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,31,3032,0,0,586,242459,0,0,0,0,0,0,0,16036,0
ROI_0011__20190130T103251_20190130T104108_T31REP,0,76155,33311,0,0,7249,1325,0,0,42053,49961,0,0,23234,28856,0
ROI_0011__20190306T103019_20190306T103540_T31REP,12,162553,99579,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,0,13415,59038,0,0,5894,78167,209,0,10705,50362,400,0,19961,19391,4602
ROI_0011__20190517T102031_20190517T102508_T31REP,0,99665,115591,0,0,89,6739,0,0,2676,31247,0,0,129,6008,0
ROI_0011__20190830T102029_20190830T102552_T31REP,0,11014,86163,0,0,2045,7619,0,0,32227,70531,0,0,3314,49231,0
ROI_0032__20190315T032531_20190315T033351_T49TFH,112005,24618,5491,81,0,0,0,0,19448,81091,9427,0,9657,326,0,0
ROI_0032__20190330T032539_20190330T033305_T49TFH,131067,2795,2881,147,5758,31187,21076,95,0,0,0,0,18379,2051,18498,28210
ROI_0032__20190713T032541_20190713T033534_T49TFH,96171,156,39186,2778,1198,21937,50783,14,0,0,0,0,6462,197,21658,21604
ROI_0032__20190817T032539_20190817T033403_T49TFH,125970,7,35054,1575,876,11915,43324,427,0,0,0,0,4528,348,35000,3120
ROI_0032__20191110T032951_20191110T033139_T49TFH,261510,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,480,37067,0,0,5917,91476,0,0,0,0,0,0,826,126378,0
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,537,12470,0,0,18447,153727,326,0,0,0,0,0,1856,71187,3594
