id,cm_t0_p0,cm_t0_p1,cm_t0_p2,cm_t0_p3,cm_t1_p0,cm_t1_p1,cm_t1_p2,cm_t1_p3,cm_t2_p0,cm_t2_p1,cm_t2_p2,cm_t2_p3,cm_t3_p0,cm_t3_p1,cm_t3_p2,cm_t3_p3
ROI_0001__20190212T142031_20190212T143214_T19FDF,0,179942,50,0,0,0,0,0,0,82152,0,0,0,0,0,0
ROI_0001__20190304T142031_20190304T142654_T19FDF,2038,9598,1200,0,4278,35423,0,0,0,1,0,0,174002,32168,3436,0
ROI_0001__20190316T141049_20190316T142437_T19FDF,0,68534,0,9256,0,100565,1,38357,0,0,0,0,0,21340,0,24091
ROI_0001__20190525T141059_20190525T142053_T19FDF,0,43967,0,67884,0,29800,0,35180,0,34838,0,23759,0,22409,0,4307
ROI_0001__20200308T141731_20200308T143551_T19FDF,1764,251809,2062,6509,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190125T112341_20190125T112624_T28QFG,0,218331,0,23587,0,0,0,0,0,20226,0,0,0,0,0,0
ROI_0010__20190724T112121_20190724T113118_T28QFG,0,0,0,72358,0,0,0,73938,0,0,0,66028,0,0,0,49820
ROI_0010__20190813T112121_20190813T113228_T28QFG,4296,45695,167,198,5671,79176,59114,4208,0,0,0,0,11266,35008,14225,3120
ROI_0010__20190907T112119_20190907T112853_T28QFG,30718,225850,5137,439,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0010__20190922T112111_20190922T113547_T28QFG,0,0,0,3063,0,438,0,242607,0,0,0,0,0,51,2,15983
ROI_0011__20190130T103251_20190130T104108_T31REP,0,109466,0,0,0,8574,0,0,0,92014,0,0,0,52090,0,0
ROI_0011__20190306T103019_20190306T103540_T31REP,0,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0011__20190318T102021_20190318T102646_T31REP,0,71163,0,1290,0,75876,0,8394,0,58603,0,2864,0,39760,0,4194
ROI_0011__20190517T102031_20190517T102508_T31REP,0,214094,253,909,0,6828,0,0,0,33574,0,349,0,4358,0,1779
ROI_0011__20190830T102029_20190830T102552_T31REP,0,97177,0,0,0,9664,0,0,0,102758,0,0,0,52418,0,127
ROI_0032__20190315T032531_20190315T033351_T49TFH,28,118144,0,24023,0,0,0,0,0,109966,0,0,42,3982,0,5959
ROI_0032__20190330T032539_20190330T033305_T49TFH,119,136767,4,0,15,58077,12,12,0,0,0,0,65,67064,9,0
ROI_0032__20190713T032541_20190713T033534_T49TFH,7,137091,0,1193,316,71862,4,1750,0,0,0,0,505,24842,0,24574
ROI_0032__20190817T032539_20190817T033403_T49TFH,7790,149083,210,5523,21839,24337,10316,50,0,0,0,0,21683,10575,237,10501
ROI_0032__20191110T032951_20191110T033139_T49TFH,1339,87,0,260718,0,0,0,0,0,0,0,0,0,0,0,0
ROI_0044__20190327T100029_20190327T101005_T32QMM,0,37043,0,504,0,97390,0,3,0,0,0,0,263,118499,13,8429
ROI_0044__20190526T100039_20190526T100712_T32QMM,0,13007,0,0,0,172044,0,456,0,0,0,0,850,67933,0,7854
